Cities
======
nation             |name               |inhabitan
                   |                   |ts       
-------------------+-------------------+---------
Germany            |Aachen             |         
Germany            |Köln               |         
Germany            |Berlin             |         
Germany            |Bonn               |         
Germany            |München            |         
Germany            |Eschweiler         |         
Germany            |Alfter-Oedekoven   |         
Estonia            |Ruhnu              |58       
Estonia            |Vigala             |1858     
Estonia            |Kilingi-Nõmme      |2490     
Belgium            |Raeren             |9933     
Belgium            |Kelmis             |10175    
Belgium            |Eupen              |17872    
Estonia            |Rakvere            |18096    
Estonia            |Viljandi           |20756    
Estonia            |Pärnu              |52000    
Belgium            |Verviers           |52739    
Estonia            |Kohtla-Järve       |70800    
Estonia            |Narva              |80300    
Belgium            |Mons               |90992    
Estonia            |Tartu              |109100   
Belgium            |Brugge             |116848   
Belgium            |Liège              |185608   
Belgium            |Charleroi          |200983   
Estonia            |Tallinn            |442000   
Belgium            |Bruxelles          |1004239  

SELECT nation_id, id, name, inhabitants FROM Cities ORDER BY inhabitants
