Cities (nation=Belgium)
=======================
name                                    |inhabitan
                                        |ts       
----------------------------------------+---------
Raeren                                  |9933     
Kelmis                                  |10175    
Eupen                                   |17872    
Verviers                                |52739    
Mons                                    |90992    
Brugge                                  |116848   
Liège                                   |185608   
Charleroi                               |200983   
Bruxelles                               |1004239  
