id	summary	status	owner	type	priority	milestone	component	severity	resolution	time	changetime	reporter
1	Using character types in an .odt template	closed	luc	oddness	major	gx-2014-12	appy_pod	medium	sleep	2014-11-11 05:22:30	2014-12-04 13:06:44	admin
2	Add a `Table.start_at_bottom` option	closed	luc	enhancement	major		web_ui	medium	sleep	2014-11-11 05:30:29	2015-01-31 09:44:50	admin
3	"Somaire pour panneau ""Interviews"" d'un client"	closed	luc	enhancement	major	mj-2014-12-20	modlib.polls	medium	fixed	2014-11-11 06:55:14	2015-02-06 20:59:27	admin
4	selecting `course_area` when inserting into `courses.Course`	assigned	luc	defect	major	mj-2015-02-06	welfare	medium		2014-11-11 07:04:14	2015-02-06 23:02:22	admin
5	Compétences professionnelles dans table à part	closed	luc	enhancement	major	mj-2014-12-20	lino	medium	fixed	2014-11-11 07:16:40	2015-01-26 23:34:20	admin
6	Write a test case which tests available actions per user profile	new		enhancement	default		welfare	medium		2014-11-13 00:47:11	2014-11-13 00:47:11	luc
7	Définir le mot de passe pour un nouvel utilisateur	closed		defect	default	mj-2014-12-20	lino	medium	fixed	2014-11-14 12:02:58	2015-01-13 05:48:47	luc
8	Évalutations automatiques d'un PIIS : pq le bénéficiaire n'y est pas?	new		defect	default	mj-2015-02-06	welfare	medium		2014-11-14 12:33:01	2015-02-06 23:02:22	luc
9	"InvoicesByJournal : parameter panel should not have a field ""Journal"""	new		oddness	default	Così 1.0	cosi	medium		2014-11-19 00:50:01	2014-11-19 00:50:01	luc
10	Move trac to lino-framework.org	closed		task	minor		community	medium	fixed	2014-11-19 13:33:43	2014-12-04 15:23:25	luc
11	Add a time tracking plugin to trac	new		enhancement	default		community	medium		2014-11-19 13:37:17	2014-11-19 13:37:17	luc
12	Add code repositories to trac	new		enhancement	default		community	medium		2014-11-19 13:39:44	2014-11-19 13:39:44	luc
13	add a test case for conflicting events in welfare	new		enhancement	default		welfare	medium		2014-11-20 14:13:33	2014-11-20 14:13:33	luc
14	simulation mode for eidreader	new		enhancement	default		welfare	medium		2014-11-24 13:35:07	2014-11-24 13:35:07	luc
15	Cannot print in ConfirmationsByGranting	closed		defect	minor	gx-2014-12	lino	medium	fixed	2014-11-25 22:12:45	2014-12-04 13:06:44	luc
16	Cannot create new confirmations when working as Theresia	closed	luc	defect	default	gx-2014-12	welfare	medium	fixed	2014-11-25 22:14:08	2014-12-04 13:06:44	luc
