id	summary	status	owner	type	priority	milestone	component	severity	resolution	time	changetime	reporter
1	Using character types in an .odt template	closed	luc	oddness	major	gx-2014-12	appy_pod	medium	sleep	2014-11-11 04:22:30	2014-12-04 12:06:44	admin
2	Add a `Table.start_at_bottom` option	closed	luc	enhancement	major		web_ui	medium	sleep	2014-11-11 04:30:29	2015-01-31 08:44:50	admin
3	"Somaire pour panneau ""Interviews"" d'un client"	closed	luc	enhancement	major	mj-2014-12-20	modlib.polls	medium	fixed	2014-11-11 05:55:14	2015-02-06 19:59:27	admin
4	selecting `course_area` when inserting into `courses.Course`	accepted	luc	defect	default	mj-2015-02-17	welfare	trivial		2014-11-11 06:04:14	2015-02-17 22:25:26	admin
5	Compétences professionnelles dans table à part	closed	luc	enhancement	major	mj-2014-12-20	lino	medium	fixed	2014-11-11 06:16:40	2015-01-26 22:34:20	admin
6	Write a test case which tests available actions per user profile	new		enhancement	default		welfare	medium		2014-11-12 23:47:11	2014-11-12 23:47:11	luc
7	Définir le mot de passe pour un nouvel utilisateur	closed		defect	default	mj-2014-12-20	lino	medium	fixed	2014-11-14 11:02:58	2015-01-13 04:48:47	luc
8	Évalutations automatiques d'un PIIS : pq le bénéficiaire n'y est pas?	closed		defect	default	mj-2015-02-17	welfare	medium	fixed	2014-11-14 11:33:01	2015-03-26 11:47:23	luc
9	"InvoicesByJournal : parameter panel should not have a field ""Journal"""	new		oddness	default	Così 1.0	cosi	medium		2014-11-18 23:50:01	2014-11-18 23:50:01	luc
10	Move trac to lino-framework.org	closed		task	minor		community	medium	fixed	2014-11-19 12:33:43	2014-12-04 14:23:25	luc
11	Add a time tracking plugin to trac	new		enhancement	default		community	medium		2014-11-19 12:37:17	2014-11-19 12:37:17	luc
12	Add code repositories to trac	new		enhancement	default		community	medium		2014-11-19 12:39:44	2014-11-19 12:39:44	luc
13	add a test case for conflicting events in welfare	new		enhancement	default		welfare	medium		2014-11-20 13:13:33	2014-11-20 13:13:33	luc
14	simulation mode for eidreader	new		enhancement	default		welfare	medium		2014-11-24 12:35:07	2014-11-24 12:35:07	luc
15	Cannot print in ConfirmationsByGranting	closed		defect	minor	gx-2014-12	lino	medium	fixed	2014-11-25 21:12:45	2014-12-04 12:06:44	luc
16	Cannot create new confirmations when working as Theresia	closed	luc	defect	default	gx-2014-12	welfare	medium	fixed	2014-11-25 21:14:08	2014-12-04 12:06:44	luc
17	date range of aids.Confirmation must be within that of the aids.Granting	closed		defect	default	gx-2014-12	lino	medium	fixed	2014-11-25 21:15:46	2014-12-04 12:06:44	luc
18	Apotheke aus Klientenkontakten wird ignoriert beim Erstellen einer Bestätigung AMK	closed		defect	default	gx-2014-12	lino	medium	fixed	2014-11-25 21:17:27	2014-12-04 12:06:44	luc
19	Additional page in AMK confirmation	closed	luc	defect	default	gx-2014-12	welfare	medium	fixed	2014-11-25 21:18:39	2014-12-04 12:17:19	luc
20	Cannot see UserProfiles table	closed		defect	default		lino	medium	fixed	2014-11-28 14:49:54	2014-11-28 14:58:19	luc
21	Garde d'enfant	closed		enhancement	default	mj-2014-12	welfare	medium	fixed	2014-12-01 23:22:38	2014-12-20 13:29:44	luc
22	Parcours : Formations dans une table à part	closed		defect	default	mj-2014-12	lino	medium	fixed	2014-12-03 08:31:24	2014-12-04 12:15:44	luc
23	Diverse Probleme Schuldnerberatung	closed		defect	major	gx-2014-12	welfare	medium	fixed	2014-12-04 12:10:58	2014-12-05 23:04:46	luc
