This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Population 	 Date of Information
1 	 World 	      6,302,309,691 	 July 2003 est.
2 	 China 	      1,286,975,468 	 July 2003 est.
3 	 India 	      1,049,700,118 	 July 2003 est.
4 	 United States 	       290,342,554 	 July 2003 est.
5 	 Indonesia 	       234,893,453 	 July 2003 est.
6 	 Brazil 	       182,032,604 	 July 2003 est.
7 	 Pakistan 	       150,694,740 	 July 2003 est.
8 	 Russia 	       144,526,278 	 July 2003 est.
9 	 Bangladesh 	       138,448,210 	 July 2003 est.
10 	 Nigeria 	       133,881,703 	 July 2003 est.
11 	 Japan 	       127,214,499 	 July 2003 est.
12 	 Mexico 	       104,907,991 	 July 2003 est.
13 	 Philippines 	        84,619,974 	 July 2003 est.
14 	 Germany 	        82,398,326 	 July 2003 est.
15 	 Vietnam 	        81,624,716 	 July 2003 est.
16 	 Egypt 	        74,718,797 	 July 2003 est.
17 	 Iran 	        68,278,826 	 July 2003 est.
18 	 Turkey 	        68,109,469 	 July 2003 est.
19 	 Ethiopia 	        66,557,553 	 July 2003 est.
20 	 Thailand 	        64,265,276 	 July 2003 est.
21 	 France 	        60,180,529 	 July 2003 est.
22 	 United Kingdom 	        60,094,648 	 July 2003 est.
23 	 Italy 	        57,998,353 	 July 2003 est.
24 	 Congo, Democratic Republic of the 	        56,625,039 	 July 2003 est.
25 	 Korea, South 	        48,289,037 	 July 2003 est.
26 	 Ukraine 	        48,055,439 	 July 2003 est.
27 	 South Africa 	        42,768,678 	 July 2003 est.
28 	 Burma 	        42,510,537 	 July 2003 est.
29 	 Colombia 	        41,662,073 	 July 2003 est.
30 	 Spain 	        40,217,413 	 July 2003 est.
31 	 Argentina 	        38,740,807 	 July 2003 est.
32 	 Poland 	        38,622,660 	 July 2003 est.
33 	 Sudan 	        38,114,160 	 July 2003 est.
34 	 Tanzania 	        35,922,454 	 July 2003 est.
35 	 Algeria 	        32,818,500 	 July 2003 est.
36 	 Canada 	        32,207,113 	 July 2003 est.
37 	 Morocco 	        31,689,265 	 July 2003 est.
38 	 Kenya 	        31,639,091 	 July 2003 est.
39 	 Afghanistan 	        28,717,213 	 July 2003 est.
40 	 Peru 	        28,409,897 	 July 2003 est.
41 	 Nepal 	        26,469,569 	 July 2003 est.
42 	 Uzbekistan 	        25,981,647 	 July 2003 est.
43 	 Uganda 	        25,632,794 	 July 2003 est.
44 	 Iraq 	        24,683,313 	 July 2003 est.
