name	bundesland_name
Aach 	Baden-Württemberg
Aachen 	Nordrhein-Westfalen
Aalen 	Baden-Württemberg
Abenberg 	Bayern
Abensberg 	Bayern
Achern 	Baden-Württemberg
Achim 	Niedersachsen
Adelsheim 	Baden-Württemberg
Adenau 	Rheinland-Pfalz
Adorf 	Sachsen
Ahaus 	Nordrhein-Westfalen
Ahlen 	Nordrhein-Westfalen
Ahrensburg 	Schleswig-Holstein
Aichach 	Bayern
Aichtal 	Baden-Württemberg
Aken (Elbe) 	Sachsen-Anhalt
Albstadt 	Baden-Württemberg
Alfeld (Leine) 	Niedersachsen
Allendorf (Lumda) 	Hessen
Allstedt 	Sachsen-Anhalt
Alpirsbach 	Baden-Württemberg
Alsfeld 	Hessen
Alsdorf 	Nordrhein-Westfalen
Alsleben (Saale) 	Sachsen-Anhalt
Altdorf bei Nürnberg 	Bayern
Altena 	Nordrhein-Westfalen
Altenau, Bergstadt 	Niedersachsen
Altenberg 	Sachsen
Altenburg 	Thüringen
Altenkirchen (Westerwald) 	Rheinl.-Pfalz
Altensteig 	Baden-Württemberg
Altentreptow 	Mecklenburg-Vorpommern
Altlandsberg 	Brandenburg
Altötting 	Bayern
Alzenau in Unterfranken 	Bayern
Alzey 	Rheinland-Pfalz
Amberg 	Bayern
Amöneburg 	Hessen
Amorbach 	Bayern
Andernach 	Rheinland-Pfalz
Angermünde 	Brandenburg
Anklam 	Mecklenburg-Vorpommern
Annaberg-Buchholz 	Sachsen
Annaburg 	Sachsen-Anhalt
Annweiler am Trifels 	Rheinland-Pfalz
Ansbach 	Bayern
Apolda 	Thüringen
Arendsee (Altmark) 	Sachsen-Anhalt
Arneburg 	Sachsen-Anhalt
Arnis 	Schleswig-Holstein
Arnsberg 	Nordrhein-Westfalen
Arnstadt 	Thüringen
Arnstein 	Bayern
Artern/Unstrut 	Thüringen
Arzberg 	Bayern
Aschaffenburg 	Bayern
Aschersleben 	Sachsen-Anhalt
Asperg 	Baden-Württemberg
Aßlar 	Hessen
Attendorn 	Nordrhein-Westfalen
Aub 	Bayern
Aue 	Sachsen
Auerbach in der Oberpfalz 	Bayern
Auerbach/Vogtl. 	Sachsen
Augsburg 	Bayern
Augustusburg 	Sachsen
Aulendorf 	Baden-Württemberg
Auma 	Thüringen
Aurich 	Niedersachsen
Babenhausen 	Hessen
Bacharach 	Rheinland-Pfalz
Backnang 	Baden-Württemberg
Bad Aibling 	Bayern
Bad Arolsen 	Hessen
Bad Bentheim 	Niedersachsen
Bad Bergzabern 	Rheinland-Pfalz
Bad Berka 	Thüringen
Bad Berleburg 	Nordrhein-Westfalen
Bad Berneck im Fichtelgebirge 	Bayern
Bad Bevensen 	Niedersachsen
Bad Bibra 	Sachsen-Anhalt
Bad Blankenburg 	Thüringen
Bad Bramstedt 	Schleswig-Holstein
Bad Breisig 	Rheinland-Pfalz
Bad Brückenau 	Bayern
Bad Buchau 	Baden-Württemberg
Bad Camberg 	Hessen
Bad Colberg-Heldburg 	Thüringen
Bad Doberan 	Mecklenburg-Vorp.
Bad Driburg 	Nordrhein-Westfalen
Bad Düben 	Sachsen
Bad Dürkheim 	Rheinland-Pfalz
Bad Dürrenberg 	Sachsen-Anhalt
Bad Dürrheim 	Baden-Württemberg
Bad Elster 	Sachsen
Bad Ems 	Rheinland-Pfalz
Baden-Baden 	Baden-Württemberg
Bad Fallingbostel 	Niedersachsen
Bad Frankenhausen/Kyffhäuser 	Thür.
Bad Freienwalde (Oder) 	Brandenburg
Bad Friedrichshall 	Baden-Württ.
Bad Gandersheim 	Niedersachsen
Bad Gottleuba-Berggießhübel 	Sachs.
