MAAKOND;VALD;LINN/ ALEV/ ALEVIK/ KÜLA;TÄNAV/TALU;AADRESSILIIK;MAJAALGUS;MAJALOPP;SIHTNUMBER
"Harju";"";"Tallinn";"Lootuse pst";"linn";"64";"72";"11617"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"75";"81";"11617"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"83";"97";"11618"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"86";"94";"11619"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"96";"9999";"11620"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"111";"9999";"11620"
"Harju";"";"Tallinn";"Lossi plats";"linn";"2";"9999";"10130"
"Harju";"";"Tallinn";"Lõuka";"linn";"0";"9999";"13521"
"Harju";"";"Tallinn";"Lõuna";"linn";"0";"9999";"11617"
"Harju";"";"Tallinn";"Lubja";"linn";"0";"9999";"10115"
"Harju";"";"Tallinn";"Luha";"linn";"1";"17";"10129"
"Harju";"";"Tallinn";"Luha";"linn";"2";"16";"10129"
"Harju";"";"Tallinn";"Luha";"linn";"18";"9999";"10131"
"Harju";"";"Tallinn";"Luha";"linn";"19";"9999";"10131"
"Harju";"";"Tallinn";"Lühike";"linn";"0";"9999";"11619"
"Harju";"";"Tallinn";"Lühike jalg";"linn";"0";"9999";"10130"
"Harju";"";"Tallinn";"Luige";"linn";"0";"9999";"13426"
"Harju";"";"Tallinn";"Luise";"linn";"0";"9999";"10142"
"Harju";"";"Tallinn";"Luisu";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Luite";"linn";"0";"9999";"11313"
"Harju";"";"Tallinn";"Lükati tee";"linn";"1";"1";"12012"
"Harju";"";"Tallinn";"Lükati tee";"linn";"2";"6";"12012"
"Harju";"";"Tallinn";"Lüli";"linn";"0";"9999";"10112"
"Harju";"";"Tallinn";"Lume";"linn";"0";"9999";"10416"
"Harju";"";"Tallinn";"Lumikellukese tee";"linn";"0";"9999";"11914"
"Harju";"";"Tallinn";"Lumiku";"linn";"0";"9999";"11913"
"Harju";"";"Tallinn";"Luste";"linn";"0";"9999";"10318"
"Harju";"";"Tallinn";"M. Härma";"linn";"10";"9999";"13612"
"Harju";"";"Tallinn";"M. Härma";"linn";"7";"13";"13612"
"Harju";"";"Tallinn";"M. Härma";"linn";"1";"5";"13615"
"Harju";"";"Tallinn";"M. Härma";"linn";"2";"8";"13615"
"Harju";"";"Tallinn";"M. Metsanurga";"linn";"0";"9999";"11617"
"Harju";"";"Tallinn";"Maakri";"linn";"0";"9999";"10145"
"Harju";"";"Tallinn";"Maasika";"linn";"0";"9999";"10614"
"Harju";"";"Tallinn";"Madala";"linn";"1";"3";"10313"
"Harju";"";"Tallinn";"Madala";"linn";"2";"14";"10313"
"Harju";"";"Tallinn";"Madala";"linn";"5";"5";"10311"
"Harju";"";"Tallinn";"Madala";"linn";"5A";"5A";"10315"
"Harju";"";"Tallinn";"Madala";"linn";"11";"17";"10315"
"Harju";"";"Tallinn";"Madala";"linn";"16";"30";"10315"
"Harju";"";"Tallinn";"Madara";"linn";"1";"29";"10612"
"Harju";"";"Tallinn";"Madara";"linn";"2";"18";"10612"
"Harju";"";"Tallinn";"Madara";"linn";"20";"30";"10613"
"Harju";"";"Tallinn";"Madara";"linn";"31";"37";"10613"
"Harju";"";"Tallinn";"Mäe";"linn";"0";"9999";"13628"
"Harju";"";"Tallinn";"Mäealuse";"linn";"0";"9999";"12618"
"Harju";"";"Tallinn";"Mäekalda";"linn";"1";"9999";"10127"
"Harju";"";"Tallinn";"Mäekalda";"linn";"2";"24";"10127"
"Harju";"";"Tallinn";"Mäekalda";"linn";"28";"9999";"10127"
"Harju";"";"Tallinn";"Mäekalda";"linn";"26";"26";"10147"
"Harju";"";"Tallinn";"Mäekõrtsi";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Mäepealse";"linn";"2";"2";"12618"
"Harju";"";"Tallinn";"Magasini";"linn";"0";"9999";"10138"
"Harju";"";"Tallinn";"Magdaleena";"linn";"0";"9999";"11312"
"Harju";"";"Tallinn";"Mähe tee";"linn";"0";"9999";"11912"
"Harju";"";"Tallinn";"Mähe-Kaasiku tee";"linn";"0";"9999";"11911"
"Harju";"";"Tallinn";"Mahla";"linn";"2";"58";"11213"
"Harju";"";"Tallinn";"Mahla";"linn";"65";"9999";"11215"
"Harju";"";"Tallinn";"Mahla";"linn";"64";"9999";"11215"
"Harju";"";"Tallinn";"Mahtra";"linn";"1";"9999";"13811"
"Harju";"";"Tallinn";"Mahtra";"linn";"2";"38";"13811"
"Harju";"";"Tallinn";"Mahtra";"linn";"40";"80";"13812"
"Harju";"";"Tallinn";"Mai";"linn";"0";"9999";"11621"
"Harju";"";"Tallinn";"Mai põik";"linn";"0";"9999";"11621"
"Harju";"";"Tallinn";"Maikellukese tee";"linn";"0";"9999";"11914"
"Harju";"";"Tallinn";"Mailase tee";"linn";"0";"9999";"12015"
"Harju";"";"Tallinn";"Maisi";"linn";"0";"9999";"10317"
"Harju";"";"Tallinn";"Majaka";"linn";"21";"33";"11416"
"Harju";"";"Tallinn";"Majaka";"linn";"29B";"29B";"11414"
"Harju";"";"Tallinn";"Majaka";"linn";"43";"43";"11414"
"Harju";"";"Tallinn";"Majaka";"linn";"2";"9999";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"5";"5";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"9";"9";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"13";"13";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"17";"17";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"19";"19";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"3";"3";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"7";"7";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"11";"11";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"15";"15";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"37";"41";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"45";"9999";"11411"
"Harju";"";"Tallinn";"Majaka põik";"linn";"0";"9999";"11414"
"Harju";"";"Tallinn";"Maleva";"linn";"0";"9999";"11711"
"Harju";"";"Tallinn";"Maleva põik";"linn";"0";"9999";"11711"
"Harju";"";"Tallinn";"Malmi";"linn";"0";"9999";"10412"
"Harju";"";"Tallinn";"Maneezi";"linn";"0";"9999";"10117"
"Harju";"";"Tallinn";"Mängu";"linn";"0";"9999";"11623"
"Harju";"";"Tallinn";"Männi";"linn";"0";"9999";"11621"
"Harju";"";"Tallinn";"Männiku tee";"linn";"104";"104V";"11216"
"Harju";"";"Tallinn";"Männiku tee";"linn";"106";"106";"11216"
